ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Thierry,Delafoy,FRA,0,01:04:00,00:03:07,05:29:42,00:03:54,04:57:05,59,11:37:48
Kevin,Lineham,GBR,0,01:10:33,00:05:04,05:52:53,00:05:58,04:23:41,60,11:38:08
Edgar,Teuber,GER,0,01:02:45,00:02:51,05:36:16,00:03:38,04:53:39,61,11:39:07
Michael,Velte-Andree,GER,0,01:15:50,00:03:58,06:03:36,00:03:37,04:12:16,62,11:39:16
Michael,Fache,GER,0,01:10:13,00:04:49,05:50:09,00:04:02,04:30:04,63,11:39:17
Urs,Grieder,SUI,0,01:02:05,00:02:59,06:12:03,00:02:32,04:21:30,64,11:41:07
Hans-Peter,Adrion,GER,0,01:10:39,00:04:07,05:53:35,00:02:45,04:31:57,65,11:43:02
Roger,Seeck,GER,0,01:10:25,00:02:37,05:54:19,00:02:12,04:34:37,66,11:44:09
Peter,Bender,GER,0,01:12:32,00:05:18,05:51:33,00:03:54,04:31:09,67,11:44:24
Erwin,Unfried,GER,0,01:12:27,00:03:55,05:20:28,00:02:21,05:06:29,68,11:45:39
Stefan,Frielingsdorf,GER,0,01:15:42,00:07:16,05:58:48,00:06:20,04:17:55,69,11:45:59
Paul,Yeatman,GBR,0,01:09:16,00:07:23,06:02:51,00:05:57,04:21:18,70,11:46:43
Lothar,Henkel,GER,0,01:19:07,00:05:19,05:48:48,00:02:47,04:31:06,71,11:47:06
Réginald,Lacourt,BEL,0,01:12:38,00:04:28,05:33:36,00:02:16,04:54:39,72,11:47:35
Patrick,Moens,BEL,0,00:59:22,00:05:34,05:46:28,00:07:46,04:49:15,73,11:48:24
Dieter,Häckl,GER,0,01:21:41,00:03:48,06:15:05,00:03:05,04:05:23,74,11:49:01
Jochen,Rumpelt,GER,0,01:08:12,00:06:03,06:05:01,00:04:03,04:27:39,75,11:50:57
Eric,Van Der Heijden,NED,0,01:07:12,00:03:39,06:05:42,00:03:28,04:32:06,76,11:52:07
Rainer,Prior,GER,0,01:07:06,00:03:29,05:44:35,00:03:39,04:53:22,77,11:52:09
Lothar,Ronge,GER,0,01:07:25,00:02:52,05:43:27,00:03:04,04:56:00,78,11:52:46
Jürgen,Goller,GER,0,01:05:05,00:03:02,05:46:55,00:04:30,04:54:23,79,11:53:55
Götz,Möhl,GER,0,01:10:50,00:03:23,06:10:00,00:02:29,04:29:23,80,11:56:04
Richard,Greil,GER,0,01:09:56,00:02:58,05:46:22,00:03:38,04:53:35,81,11:56:27
Bernd,Schlitt,GER,0,01:17:15,00:06:19,06:00:29,00:03:30,04:29:20,82,11:56:51
Günter,Popp,GER,0,01:09:17,00:03:15,05:55:26,00:03:55,04:45:57,83,11:57:50
Marc,Francois-Brazier,FRA,0,01:20:15,00:09:57,06:20:37,00:05:28,04:06:05,84,12:02:21
Jean-Claude,Bauchet,FRA,0,01:20:22,00:05:02,06:10:31,00:05:45,04:21:26,85,12:03:05
Gerald,Clausing,GER,0,01:07:25,00:04:17,06:02:17,00:03:23,04:46:34,86,12:03:57
Joachim,Flüthmann,GER,0,01:14:49,00:06:44,05:30:14,00:02:23,05:14:32,87,12:08:41
Alexander,Bübel,GER,0,00:58:45,00:07:27,06:37:24,00:03:20,04:24:18,88,12:11:13
Claus-Gunther,Heßler,GER,0,01:09:27,00:05:29,06:01:17,00:03:01,04:52:12,89,12:11:25
Josef,Weiß,GER,0,01:15:15,00:05:20,05:57:11,00:05:42,04:48:06,90,12:11:33
Reinhard,Kruse,GER,0,01:09:56,00:05:14,06:02:43,00:04:00,04:49:58,91,12:11:50
Mark,Norsworthy,GBR,0,01:06:53,00:03:26,06:06:11,00:03:39,04:51:50,92,12:11:57
Julius,Zeiner,GER,0,01:08:15,00:06:41,06:40:43,00:07:25,04:10:05,93,12:13:09
Hans-Peter,Schmidt,GER,0,01:31:00,00:06:30,05:59:55,00:08:11,04:28:37,94,12:14:12
Christian,Privat,FRA,0,01:26:10,00:05:01,05:56:17,00:05:46,04:41:49,95,12:15:03
Norbert,Folsche,GER,0,01:07:10,00:06:48,06:31:02,00:05:50,04:28:48,96,12:19:39
Johannes,Matthews,GER,0,01:30:26,00:03:33,06:16:00,00:04:24,04:25:32,97,12:19:56
Reinhard,Schröder,GER,0,01:10:35,00:02:57,05:33:27,00:05:40,05:28:45,98,12:21:22
Freddy,Olsen,NOR,0,01:19:38,00:03:54,06:02:14,00:03:27,04:52:36,99,12:21:49
Hermann,Trojer,AUT,0,01:04:42,00:02:16,05:43:27,00:03:55,05:30:23,100,12:24:42
Phil,Olson,GBR,0,01:17:57,00:10:50,06:13:25,00:05:13,04:37:58,101,12:25:21
Thomas,Rother,GER,0,01:13:19,00:08:22,06:05:04,00:06:55,04:52:13,102,12:25:52
Silvio,Carigiet,SUI,0,01:08:31,00:04:28,05:59:34,00:04:17,05:11:22,103,12:28:10
Alain,Lalys,FRA,0,01:10:28,00:05:32,06:02:16,00:06:12,05:03:48,104,12:28:14
Barry,Richards,GBR,0,01:06:08,00:03:53,06:21:35,00:07:41,04:49:03,105,12:28:18
Geert,Vermeire,BEL,0,01:13:00,00:03:29,05:42:58,00:09:07,05:22:06,106,12:30:38
Paul-Henri,Burrion,BEL,0,01:04:57,00:06:07,06:12:41,00:10:19,04:56:40,107,12:30:40
Jürgen,Brodka,GER,0,01:26:43,00:06:21,06:05:23,00:05:29,04:47:04,108,12:31:01
Christian,Floeren,GER,0,01:19:01,00:06:48,06:12:48,00:05:29,04:49:24,109,12:33:30
Serge,Archimbaud,FRA,0,01:16:34,00:06:00,06:17:16,00:07:12,04:49:21,110,12:36:23
Thomas,Teige,GER,0,01:21:32,00:03:44,06:02:33,00:02:58,05:06:22,111,12:37:08
Detlev,Kreuels,GER,0,01:05:33,00:12:38,06:36:12,00:07:27,04:37:50,112,12:39:39
Paty,Benoit,FRA,0,01:08:44,00:05:14,06:08:38,00:04:58,05:12:26,113,12:39:59
